0	-1.554312e-15
100000	2.499778e-12
200000	4.999112e-12
300000	7.498668e-12
400000	9.999779e-12
500000	1.249933e-11
600000	1.499867e-11
700000	1.749889e-11
800000	1.999978e-11
900000	2.249845e-11
1000000	2.499911e-11
1100000	2.749734e-11
1200000	2.999867e-11
1300000	3.249756e-11
1400000	3.499800e-11
1500000	3.749645e-11
1600000	3.999778e-11
1700000	4.249801e-11
1800000	4.499845e-11
1900000	4.749845e-11
2000000	4.999801e-11
2100000	5.249934e-11
2200000	5.499912e-11
2300000	5.749956e-11
2400000	5.999867e-11
2500000	6.249823e-11
2600000	6.499912e-11
2700000	6.749845e-11
2800000	6.999645e-11
2900000	7.249623e-11
3000000	7.499557e-11
3100000	7.749579e-11
3200000	7.999668e-11
3300000	8.249668e-11
3400000	8.499601e-11
3500000	8.749601e-11
3600000	8.999534e-11
3700000	9.249601e-11
3800000	9.499468e-11
3900000	9.749290e-11
4000000	9.999401e-11
4100000	1.024936e-10
4200000	1.049942e-10
4300000	1.074940e-10
4400000	1.099940e-10
4500000	1.124940e-10
4600000	1.149925e-10
4700000	1.174933e-10
4800000	1.199938e-10
4900000	1.224938e-10
5000000	1.249929e-10
5100000	1.274925e-10
5200000	1.299918e-10
5300000	1.324927e-10
5400000	1.349907e-10
5500000	1.374907e-10
5600000	1.399911e-10
5700000	1.424898e-10
5800000	1.449894e-10
5900000	1.474882e-10
6000000	1.499891e-10
6100000	1.524878e-10
6200000	1.549887e-10
6300000	1.574896e-10
6400000	1.599885e-10
6500000	1.624874e-10
6600000	1.649874e-10
6700000	1.674876e-10
6800000	1.699871e-10
6900000	1.724862e-10
7000000	1.749869e-10
7100000	1.774865e-10
7200000	1.799854e-10
7300000	1.824869e-10
7400000	1.849865e-10
7500000	1.874869e-10
7600000	1.899847e-10
7700000	1.924854e-10
7800000	1.949856e-10
7900000	1.974849e-10
8000000	1.999843e-10
8100000	2.024834e-10
8200000	2.049854e-10
8300000	2.074849e-10
8400000	2.099851e-10
8500000	2.124840e-10
8600000	2.149849e-10
8700000	2.174838e-10
8800000	2.199847e-10
8900000	2.224849e-10
9000000	2.249838e-10
9100000	2.274834e-10
9200000	2.299834e-10
9300000	2.324829e-10
9400000	2.349831e-10
9500000	2.374834e-10
9600000	2.399829e-10
9700000	2.424818e-10
9800000	2.449820e-10
9900000	2.474805e-10
